path,vehicle_id,detected,detection_conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2,color_name,color_hex,color_share,num_plates,plates,embedding_idx
images/b22ad58b90f09e84.jpg,44977551,True,0.8756,90,13,350,220,blue,#2D313B,0.3433,1,"[""H7947AE""]",0
images/d31563656f68d0dc.jpg,44976301,True,0.94,2,83,800,525,blue,#375469,0.6558,0,[],1
images/610e186372556492.jpg,44977748,True,0.7369,87,26,289,201,blue,#171E29,0.3882,1,"[""KA8526TA""]",2
images/7439634173be8c42.jpg,44977497,True,0.6957,0,0,377,242,cyan,#22A5DD,0.5289,1,"[""AM8514YA""]",3
images/dc36ea7004f5868a.jpg,44976825,True,0.5781,108,213,764,600,red,#2D191A,0.3145,1,"[""BI7TI""]",4
images/e5236ae741e102b5.jpg,44961630,True,0.9089,10,3,380,250,blue,#6C7D8E,0.6326,1,"[""AI9302MX""]",5
images/5cf2de00295879c7.jpg,44977328,True,0.8972,273,42,380,158,silver,#ABBABE,0.4366,1,"[""K5405CE""]",6
images/9f17cc90d53ee084.jpg,44977033,True,0.6695,50,190,723,600,blue,#9CB5C7,0.6449,1,"[""BI7952AE""]",7
images/835dd4d528b1b790.jpg,44976980,True,0.9415,204,162,704,466,blue,#547697,0.9358,1,"[""AX33707EK""]",8
images/f264b67d5e091374.jpg,44976853,True,0.9223,0,0,375,249,gray,#89838C,0.336,0,[],9
images/5ac58442ef5755e1.jpg,44950369,True,0.9294,0,3,354,218,silver,#BBC5CF,0.4175,1,"[""CA5216KC""]",10
images/b02235b25d9a8bb2.jpg,44977011,False,0.0,,,,,,,,0,[],11
images/c043ee5654845ff2.jpg,44950079,True,0.8399,21,41,359,220,blue,#1D344C,0.5201,1,"[""BK3800IX""]",12
images/df8f6c58f0cacd12.jpg,44960616,True,0.6935,356,48,380,225,gray,#9B9592,0.3416,0,[],13
images/bff86014b2bff21d.jpg,44977480,True,0.6835,97,53,278,186,blue,#0D141C,0.4333,1,"[""KA7548PA""]",14
images/2005736a0780b5b8.jpg,44977476,True,0.9414,3,31,372,197,blue,#38485E,0.5922,1,"[""KA553CI""]",15
images/acd9d470b16f64be.jpg,44976370,True,0.9054,24,218,722,600,blue,#4C5962,0.4711,1,"[""BH0126TE""]",16
images/eb09f5ff237c0c6a.jpg,44976475,True,0.4936,25,0,377,250,blue,#416A92,0.845,1,"[""AB7396KP""]",17
images/fb3f38924c5027a7.jpg,44977720,True,0.6145,80,46,697,570,red,#6E3836,0.3969,1,"[""AM5491CP""]",18
images/cebbc0221159c3d3.jpg,44977329,True,0.7926,36,12,309,241,blue,#273742,0.5516,1,"[""AT8334EC""]",19
images/48c65d8a50093e12.jpg,44977679,True,0.9129,10,117,800,600,blue,#364358,0.9201,0,[],20
images/03c8895c3968c08a.jpg,44975960,False,0.0,,,,,,,,0,[],21
images/1073e64b48f62e1e.jpg,44945503,True,0.7715,1,12,380,232,dark_gray,#3D4040,0.3422,1,"[""AB7435E""]",22
images/92a073d1cb829bcd.jpg,44977682,True,0.9128,11,0,800,489,gray,#7A7B89,0.2636,1,"[""BC7432KP""]",23
images/721777a6f00561f5.jpg,44977519,True,0.7329,3,0,355,206,blue,#1D232D,0.3114,1,"[""KA3801MA""]",24
images/9ec6c8c0605b1245.jpg,44977119,True,0.6944,32,0,352,222,red,#771120,0.3066,1,"[""AI5132TT""]",25
images/cce3a672d2f75588.jpg,44977639,True,0.9597,27,26,372,215,blue,#274073,0.8684,1,"[""KX501C""]",26
images/65a90ca1d71e2b28.jpg,44977371,True,0.7631,14,0,372,250,gray,#9F9F9A,0.3878,1,"[""AO4084HP""]",27
images/d0273a4d977f8a4c.jpg,44977456,True,0.9373,67,67,279,184,blue,#182743,0.8119,1,"[""BX470HK""]",28
images/76985d4058e72730.jpg,44977714,True,0.7255,6,29,367,250,cyan,#516D77,0.5668,1,"[""BX7770CT""]",29
images/17cf7c6fca455b61.jpg,44971307,True,0.8586,0,53,376,204,blue,#31363E,0.7138,0,[],30
images/1bcc7f4eff917a3a.jpg,44977377,True,0.6488,76,59,330,249,red,#912220,0.7218,1,"[""BK8242CO""]",31
images/1cf7df23df98cffb.jpg,44976611,True,0.9412,42,190,748,600,blue,#809DB8,0.6433,1,"[""BC7476ET""]",32
images/cf138b135b5fd9f8.jpg,44976734,True,0.399,101,32,741,506,blue,#486175,0.7189,1,"[""AI6718HI""]",33
images/8ce7c47f2443ab89.jpg,44976525,True,0.9252,64,74,600,472,blue,#4A5D70,0.4377,1,"[""KA4435IB""]",34
images/b41a8eb33b898e37.jpg,44977308,False,0.0,,,,,,,,0,[],35
images/0d709fdcedbd34b4.jpg,44976647,True,0.511,31,0,306,213,gray,#888C91,0.2669,1,"[""KA3457TB""]",36
images/99753ee17507100d.jpg,44977132,True,0.792,47,78,766,593,silver,#D3D9D7,0.3858,1,"[""KI7469AB""]",37
images/90c63e8fad12487c.jpg,44976786,True,0.9002,0,28,380,202,blue,#555B69,0.3062,0,[],38
images/4b101593a992cf32.jpg,44976429,True,0.7608,13,70,357,250,silver,#D0D1D3,0.391,0,[],39
images/006ffd65ce24aaa2.jpg,44976727,True,0.8132,336,91,380,135,blue,#26303E,0.5858,0,[],40
images/acf1d3107ec25aa6.jpg,44975163,True,0.732,0,32,372,250,blue,#163057,0.641,0,[],41
images/e0e31ab0b95c7197.jpg,44975986,True,0.6215,0,0,356,235,blue,#515D70,0.2472,1,"[""AE7443OO""]",42
images/bd4a57d1ab8240dc.jpg,44977387,True,0.852,58,30,371,250,blue,#1D3043,0.7537,1,"[""KX7777X""]",43
images/a55eec0f1a1081ca.jpg,44976286,True,0.7293,0,154,800,600,blue,#3E5674,0.8042,1,"[""AM5001HP""]",44
images/1fa35b99b3af4d93.jpg,44977218,True,0.8073,63,36,373,216,blue,#485969,0.5224,1,"[""AI5149PM""]",45
images/671ed0147109af0d.jpg,44976804,True,0.937,45,103,756,500,blue,#374051,0.8214,1,"[""AC3IA""]",46
images/141adfae3f703cf6.jpg,44976435,True,0.8847,5,12,372,194,blue,#415466,0.354,1,"[""BA4542HI""]",47
images/6af38e577bd88434.jpg,44975967,True,0.7539,0,1,374,248,blue,#1B222E,0.5239,1,"[""BI1HE""]",48
images/ae15679fb7937637.jpg,44977727,True,0.865,0,39,784,578,silver,#C9D4D7,0.2998,1,"[""CB3769C""]",49
images/47c32d24e0d7413e.jpg,44977630,True,0.4981,28,15,284,238,blue,#425576,0.538,1,"[""KA3341EO""]",50
images/6bc30993b4d1cb60.jpg,44976330,True,0.9321,0,13,343,210,black,#010101,0.4123,0,[],51
images/579681fbd110a078.jpg,44977052,True,0.9229,39,139,737,494,gray,#9D9E98,0.325,1,"[""BH9580M""]",52
images/e4bc323d8c36bddc.jpg,44976549,True,0.8953,0,101,46,146,blue,#667887,0.6557,0,[],53
images/390368d8a63355dc.jpg,44976488,True,0.5308,0,0,380,250,silver,#C8CFCE,0.3802,0,[],54
images/b20410387f38cf98.jpg,44976674,True,0.8148,49,16,334,209,blue,#5381BA,0.9676,1,"[""KA7992PT""]",55
images/4b7675c96218a062.jpg,44977561,True,0.6636,238,127,783,552,blue,#0B1015,0.2977,1,"[""KE555XK""]",56
images/21afa569be98df2e.jpg,44977395,True,0.9204,0,1,370,225,dark_gray,#3B3B3B,0.4163,0,[],57
images/1ae04d6747565b0b.jpg,44977321,True,0.8615,85,24,332,166,blue,#122545,0.9212,1,"[""BI42TI""]",58
images/2c68c79bd412d73a.jpg,44977418,True,0.5217,57,46,799,505,blue,#162945,0.6904,1,"[""AI8477PX""]",59
images/371a5237b57c69c8.jpg,44950067,True,0.9362,0,43,143,147,blue,#5C78A0,0.6628,1,"[""BM7847IK""]",60
